domain,series_id,t,y,product,lat,lon
subsidence,4Kdbj5ZSD2,2020-01-30,6.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-02-05,-5.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-02-11,-10.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-02-17,0.89999998,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-02-23,-8.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-02-29,9.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-03-06,5.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-03-12,-0.2,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-03-18,2.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-03-24,2.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-03-30,-0.60000002,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-04-05,1.20000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-04-11,5.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-04-17,5.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-04-23,6.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-04-29,7.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-05-05,-2.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-05-11,14.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-05-17,6.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-05-23,10.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-05-29,7.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-06-04,5.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-06-10,5.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-06-16,2.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-06-22,5.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-06-28,3.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-07-04,2.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-07-10,1.79999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-07-16,3.70000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-07-22,4.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-07-28,6.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-08-03,9.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-08-09,4.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-08-15,1.60000002,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-08-21,10.39999962,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-08-27,10.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-09-02,10.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-09-08,0.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-09-14,4.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-09-20,4.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-09-26,3.70000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-10-02,6.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-10-08,7.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-10-14,3.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-10-20,-0.40000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-10-26,2.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-11-01,8.60000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-11-07,5.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-11-13,5.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-11-19,0.30000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-11-25,5.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-12-01,5.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-12-07,4.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-12-13,0.89999998,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-12-19,13.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-12-25,4.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2020-12-31,-1.39999998,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-01-06,6.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-01-12,-6.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-01-18,0.1,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-01-24,-0.89999998,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-01-30,-0.80000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-02-05,14.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-02-11,10.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-02-17,5.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-02-23,4.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-03-01,3.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-03-07,6.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-03-13,7.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-03-19,2.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-03-25,2.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-03-31,13.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-04-06,7.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-04-12,2.20000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-04-18,11.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-04-24,2.70000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-04-30,-6.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-05-06,-4.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-05-12,3.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-05-18,1.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-05-24,-3.79999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-05-30,4.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-06-05,-0.40000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-06-11,8.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-06-17,-0.40000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-06-23,3.70000005,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-06-29,2.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-07-05,-6.69999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-07-11,-1.39999998,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-07-17,12.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2021-07-23,8.69999981,A02-075,38.6035881,-28.75266647
